,노선,본부,지사,시점(km),종점(km),종단선형,평면선형,선정사유
0,경부선,부산경남본부,양산지사,5.1600,8.3900,4.5%,직선구간,장거리 오르막구간으로 적설시 정체 발생
1,경부선,부산경남본부,울산지사,58.5000,59.5000,4.70%,700m,장거리 오르막구간
2,경부선,수도권본부,수원지사,362.0000,369.0000,2~3%,"797~20,940m",2011.12기습폭설에 따른 전면차단
3,경부선,수도권본부,수원지사,408.2000,414.2000,3.0~5.0%,"2,050~8,026m",장거리 오르막구간
4,남해선(순천부산),부산경남본부,진주지사,36.5000,38.5000,3.96%,750m,종단 급경사로 인한 강설시 차량 지정체 발생
5,서해안선,대전충남본부,당진지사,274.1000,281.4000,2.05~-2.1%,"3,000m",서해대교구간 결빙 우려
6,서해안선,수도권본부,시흥지사,333.2000,334.5000,오르막 3%,700m,"고성토부및절토부,교량구간곡선반경700m,종단경사3%"
7,완주장수선,전북본부,진안지사,24.5600,26.0000,5%,1250m,종단 및 평면선형 불량
8,대구포항선,대구경북본부,영천지사,5.9400,7.3900,3.10,2000,"종단경사 3%, 연장 1,000m 이상"
9,대구포항선,대구경북본부,영천지사,13.9000,16.3900,3.9,2000,"종단경사 3%, 연장 1,000m 이상"
10,대구포항선,대구경북본부,영천지사,50.5300,53.0200,3.41,3300,"종단경사 3%, 연장 1,000m 이상"
11,"논산천안선,호남선",광주전남본부,순천지사,0.4800,4.3800,5,0~1500m,재난관리처-3288(2021.10.19)]
12,"논산천안선,호남선",광주전남본부,순천지사,5.5300,8.4000,5,0~5000m,재난관리처-3288(2021.10.19)]
13,"논산천안선,호남선",광주전남본부,순천지사,12.6200,14.5300,3,0m,재난관리처-3288(2021.10.19)]
14,"논산천안선,호남선",광주전남본부,순천지사,17.6800,19.4600,4.9,0~1380,재난관리처-3288(2021.10.19)]
15,"논산천안선,호남선",광주전남본부,광주지사,72.4000,74.5800,3,,종단 불량구간
16,"논산천안선,호남선",광주전남본부,광주지사,102.6000,104.6000,4.9~4.7%,500m~1500m,장거리 오르막구간
17,"논산천안선,호남선",전북본부,전주지사,115.9400,117.8200,3.7~-2.75%,700m,종단 및 평면선형 불량
18,순천완주선,광주전남본부,구례지사,46.3100,47.9700,3.00%,"1,880m",설해취약구간 재검토
19,순천완주선,광주전남본부,구례지사,58.9500,62.4200,3.00%,"2,000m",설해취약구간 재선정
20,순천완주선,광주전남본부,구례지사,75.9200,77.3700,3.0%,"1,300m",설해취약구간 재선정
21,청주상주선,충북본부,보은지사,56.8000,60.4000,4%,1400m,"오르막차로구간(종단경사3%이상, 연장 1,000m 이상"
22,"통영대전선,중부선",전북본부,무주지사,125.8000,127.7000,4.8~-4.8%,"2,000~1,000m",오르막차로 및 교량구간
23,"통영대전선,중부선",전북본부,무주지사,155.7000,158.1000,3.35~-3.35%,3000~1000m,"기하구조, 강설 만족"
24,"통영대전선,중부선",전북본부,무주지사,172.3000,173.6000,3.35~-3.35%,1100~2000m,오르막차로 및 교량
25,"통영대전선,중부선",충북본부,진천지사,299.5000,303.4000,2.25~-3.7%,"2,000m",종단경사 3%이상
26,"통영대전선,중부선",충북본부,진천지사,310.0000,315.2000,3.5~4.5%,"2,000~3,000m",장거리 오르막구간
27,중부내륙선,충북본부,상주지사,133.5800,137.0800,3.7,1500,응달부로 그늘짐 및 오르막차로
28,중부내륙선,충북본부,충주지사,240.5800,242.7400,3.8%,0,"내리막 구간, 터널 진출입부"
29,중부내륙선,충북본부,충주지사,242.1500,245.0000,4%,"2,200m","내리막 구간, 터널 진출입부"
30,중부내륙선,충북본부,충주지사,244.2600,245.7200,4%,0,"내리막 구간, 터널 진출입부"
31,영동선,수도권본부,군포지사,18.9000,20.0000,3.5~-4.7%,"1,000m",종단이 불량하고 방음벽에 의한 응달구간
32,영동선,강원본부,원주지사,135.4200,139.8600,4%,700m,종단 및 평면선형 불량구간
33,영동선,강원본부,원주지사,143.4600,144.5800,4.4%,1500m,종단 및 평면선형 불량구간
34,영동선,강원본부,원주지사,146.3200,150.6500,4.8%,630m,산악지역으로 종단 및 평면선형 불량구간
35,영동선,강원본부,원주지사,153.9800,155.4200,4%,360m,종단 및 평면선형 불량구간
36,영동선,강원본부,대관령지사,163.7000,165.5600,5%,700m,산악지역으로 종단 및 평면선형 불량구간
37,영동선,강원본부,대관령지사,172.8000,174.4200,4%,700m,산악지역으로 종단 및 평면선형 불량구간
38,영동선,강원본부,대관령지사,206.5400,211.0400,5~3%,"1,100m","산악지형으로 종단 불량, 강설량 많음"
39,영동선,강원본부,대관령지사,218.2400,220.9300,3.57%,800m,산악지역으로 종단 및 평면선형 불량구간
40,영동선,강원본부,대관령지사,223.9800,229.0600,5%,800m,"급한 종단경사가 3km이상 지속, 상습안개 구간"
41,영동선,강원본부,대관령지사,231.0600,233.0000,5%,800m,산악지형으로 종단불량 구간
42,중앙선,대구경북본부,군위지사,122.0000,125.0000,3.85%,R=2000,"장거리 오르막 및 장대터널(1,041m) 구간"
43,중앙선,대구경북본부,군위지사,138.0000,140.0000,4.83%,R=700,장거리 오르막 구간
44,중앙선,대구경북본부,영주지사,204.5200,205.7400,3.8%,,급경사 및 종단불량
45,중앙선,대구경북본부,영주지사,207.6600,209.1200,3.0%,1200~3000,종단경사 불량구간
46,중앙선,대구경북본부,영주지사,234.1800,246.7600,4.8~5.0%,700~3000,종단경사 불량구간
47,중앙선,충북본부,제천지사,255.8000,257.1000,4.82%,1600m,종단불량 구간
48,중앙선,충북본부,제천지사,258.8000,260.2000,4.8%,1000m,종단 및 평면선형 불량구간
49,중앙선,충북본부,제천지사,266.2000,267.6000,3.5%,900m,종단 및 평면선형 불량구간
50,중앙선,충북본부,제천지사,274.9000,276.2000,4.2%,950m,종단 및 평면선형 불량구간
51,중앙선,충북본부,제천지사,277.4000,280.1000,4.4%,1000m,종단 및 평면선형 불량구간
52,중앙선,충북본부,제천지사,288.2000,292.9000,5.9%,700m,종단 및 평면 선형 불량구간
53,중앙선,충북본부,제천지사,296.4000,300.6000,5.9%,900m,종단 및 평면선형 불량구간
54,중앙선,충북본부,제천지사,296.4000,301.3000,4.9%,600m,종단 및 평면선형 불량구간
55,중앙선,강원본부,홍천지사,343.9200,346.0200,3.1%,800m,"선형불량, 터널 진출입부"
56,중앙선,강원본부,홍천지사,347.4600,349.4800,4.3,,"선형불량, 터널 진출입부"
57,중앙선,강원본부,홍천지사,380.2600,384.6000,5.39%,500m,"급한 종단경사가 3km이상 지속, 상습안개 구간"
58,서울양양선,강원본부,춘천지사,12.7900,14.6200,3%,2000,종단 및 평면선형 불량구간
59,서울양양선,강원본부,춘천지사,20.1800,21.3200,3%,850,종단 및 평면선형 불량구간
60,서울양양선,강원본부,춘천지사,57.7200,59.5800,3,직선구간,종단불량 오르막구간
61,서울양양선,강원본부,춘천지사,63.0500,65.4300,3,2000,종단불량 오르막구간
62,동해선,강원본부,강릉지사,33.6800,35.7000,4.2,2000,종단 4.2%
63,동해선,강원본부,강릉지사,62.7400,63.8800,3,2000,종단 및 평면선형 불량구간
64,수도권제1순환선,수도권본부,동서울지사,0.6100,2.3400,3.50%,800m,장거리 오르막구간
65,수도권제1순환선,수도권본부,동서울지사,126.0800,127.7200,3.50%,800m,교통량이 많은 주요 교통요지
66,남해제1지선,부산경남본부,창원지사,1.2400,3.6800,6.46,600,종단불량 구간
67,호남선의 지선,대전충남본부,대전지사,39.9900,41.0800,4%,직선,급경사구간
68,중부내륙선의 지선,부산경남본부,창녕지사,14.3000,15.4000,5%,직선,종단불량 구간
